dataset_id,cell,object_id,object_bank_status,execution_status,reason_code,reason,n_curves,n_points,successful_groups,coordinate_native,coordinate_analysis,coordinate_transform,coordinate_unit
N003,4,N003.TRAJ_E,ADAPTED,valid,,N003 Cell 4 valid; model eligibility respects reliability QC,18.0,9208.0,0,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N003,6,N003.TRAJ_E,ADAPTED,valid,,summary restricted to source-reliable embedding dimensions,18.0,9208.0,0,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N003,9,N003.TRAJ_E,ADAPTED,valid,,N003 Cell 9 valid,18.0,9208.0,0,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N003,13,N003.TRAJ_E,ADAPTED,valid,,N003 Cell 13 valid; raw locking flagged model-dominated,18.0,9208.0,0,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N003,17,N003.TRAJ_E,ADAPTED,valid,,unwrapped rotation is the primary estimator; raw global summaries are model-baseline-dominated and baseline contrasts are used for model eligibility,18.0,9208.0,0,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N003,19,N003.TRAJ_E,SUPPORT,valid,,N003 Cell 19 valid with stability gate,18.0,9208.0,0,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N003,21,N003.TRAJ_E,SUPPORT,valid,,N003 Cell 21 valid with adjacency gate,18.0,9208.0,0,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N003,25,N003.TRAJ_E,SUPPORT,valid,,N003 Cell 25 valid,18.0,9208.0,0,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N003,28,N003.TRAJ_E,SUPPORT,valid,,N003 Cell 28 valid; fixed-point residual excluded from predictive pool,18.0,9208.0,0,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P001,4,P001.TRAJ_E,ADAPTED,conditional_fail,NO_VALID_LYAPUNOV_RESULTS,AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,2.0,46.0,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P001,6,P001.TRAJ_E,ADAPTED,skipped_dependency,CELL4_UNAVAILABLE,Cell 4 unavailable: AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,,,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N001,4,N001.TRAJ_DEPTH,ADAPTED,conditional_fail,NO_VALID_LYAPUNOV_RESULTS,AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,40.0,4.0,0,shield_depth_cm,shield_depth_cm,identity,cm
N001,6,N001.TRAJ_DEPTH,ADAPTED,skipped_dependency,CELL4_UNAVAILABLE,Cell 4 unavailable: AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,,,0,shield_depth_cm,shield_depth_cm,identity,cm
N002,4,N002.TRAJ_DEPTH,ADAPTED,conditional_fail,NO_VALID_LYAPUNOV_RESULTS,AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,51.0,5.0,0,shield_depth_cm,shield_depth_cm,identity,cm
N002,6,N002.TRAJ_DEPTH,ADAPTED,skipped_dependency,CELL4_UNAVAILABLE,Cell 4 unavailable: AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,,,0,shield_depth_cm,shield_depth_cm,identity,cm
P002,4,P002.SEQ_TVL,CONDITIONAL,conditional_fail,NO_VALID_LYAPUNOV_RESULTS,AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,2.0,7.0,0,nominal_beam_MV,nominal_beam_MV,identity,MV
P002,6,P002.SEQ_TVL,CONDITIONAL,skipped_dependency,CELL4_UNAVAILABLE,Cell 4 unavailable: AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,,,0,nominal_beam_MV,nominal_beam_MV,identity,MV
P003,4,P003.TRAJ_BUILD,ADAPTED,conditional_fail,NO_VALID_LYAPUNOV_RESULTS,AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,5.0,15.0,0,penetration_MFP,penetration_MFP,identity,MFP
P003,6,P003.TRAJ_BUILD,ADAPTED,skipped_dependency,CELL4_UNAVAILABLE,Cell 4 unavailable: AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,,,0,penetration_MFP,penetration_MFP,identity,MFP
C001,4,C001.SEQ_LINES,ADAPTED,conditional_fail,INSUFFICIENT_UNIQUE_POINTS,AtlasStructuralFail: only 1 unique coordinate points,,,0,,,,
C001,6,C001.SEQ_LINES,ADAPTED,skipped_dependency,CELL4_UNAVAILABLE,Cell 4 unavailable: AtlasStructuralFail: only 1 unique coordinate points,,,0,,,,
PN001,4,PN001.TRAJ_YIELD,ADAPTED,conditional_fail,NO_VALID_LYAPUNOV_RESULTS,AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,1.0,3.0,0,incident_electron_energy_MeV,log(incident_electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PN001,6,PN001.TRAJ_YIELD,ADAPTED,skipped_dependency,CELL4_UNAVAILABLE,Cell 4 unavailable: AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,,,0,incident_electron_energy_MeV,log(incident_electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P004,4,P004.SEQ_MAT,CONDITIONAL,conditional_fail,NO_VALID_LYAPUNOV_RESULTS,AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,7.0,5.0,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P004,6,P004.SEQ_MAT,CONDITIONAL,skipped_dependency,CELL4_UNAVAILABLE,Cell 4 unavailable: AtlasStructuralFail: No curve/embedding combination passed support and local-Jacobian gates,,,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N004,4,N004.TRAJ_E,ADAPTED,valid,,robust observable-specific summaries; unsupported dimensions omitted,6.0,9122.0,0,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
