phase1_component,implemented,implementation,runtime_complete,runtime_requirement
Step 2 frozen multi-observable clinical holdout corpus,True,Ten hash-frozen independent 40x40 PDD/profile references for 6/10/15/16/18 MV; intrinsic preregistration QC; raw PDFs/exact objects/provenance stored separately; no smoothing/symmetrization/post-hoc shift,True,data/raw and data/processed production_source_validation/step2_holdouts must be installed and hash-clean
v12 processed production-validation corpus,True,Eight processed validation records installed and SHA-256 checked; 7 experimental + 1 explicitly simulated PHITS record; 3 MV excluded by scope,True,Processed no-3MV validation bundle must be present and hash-clean
Native production-photon PDD surface-phase-space diagnostic,True,"C++17 Geant4 MT photon_pdd mode with water-surface source plane, virtual-source divergence, event-level covariance propagation, exact production energy spectra, and explicit nonqualifying phase-space-surrogate semantics",True,Five 6/10/15/16/18 MV PDD diagnostic runs quantify downstream consistency only; measured source-spectrum evidence now exists separately and PDD surrogates remain nonqualifying for Step 2C
Exact current production spectra import,True,"Restricted dependency-closed AST replay of the final current production SPECTRUM_LIBRARY, including recognized later source mutations, exact energy grid, normalized probability masses, source snapshot and SHA-256 freezing; full simulator module is never imported",True,Run where the production simulator tree exists or provide data/metadata/production_source_spectra.csv
Independent production-source validation,True,Automatic measured-spectrum and integral/depth comparison engine; PDD phase-space surrogates and TVL-only evidence are nonqualifying; manual pass flags are ignored,False,"Independent measured spectra are numerically evaluated for all required sources; remaining promotion depends on support, frozen shape thresholds, and strict machine/field comparability rather than mere evidence presence"
Geant4 dataset discovery / repair / preflight,True,"Parse all datasets declared by geant4-config, search compatible existing installs, automatically install missing datasets, verify runtime payload including ENSDFSTATE.dat, and fail closed before physics",False,All datasets declared by the selected Geant4 installation must resolve before native physics execution
Real P001/N001/N002 Geant4 results,True,"Native C++17 runner generation/build with Geant4 auto-discovery, geant4-config direct-build fallback, deterministic P001 and stochastic N001/N002 execution controller",True,PHASE1_MODE=run on the Geant4 machine
C++17 / MT / 16-worker execution verification,True,Native preflight and actual-run-manifest verification; serial fallback rejected,True,Successful native run manifest from the required machine
Per-run provenance,True,"Per-run JSON provenance with run/config/source/result hashes, Geant4 datasets, histories, seed and scoring assumption",True,Real required runs must complete
Four source-normalization probes,True,"43-MeV Fe0/Fe40 and 68-MeV Fe0/Fe80 probes, combined-uncertainty 2-sigma gate, fail-closed downstream controller",True,All four real probe simulations must pass
Conventional Geant4 baseline,True,"P001 coefficient, N001/N002 absolute spectra and separate ICRP-21 comparisons with uncertainty-aware residual metrics",True,Required real Geant4 result files must exist
Neutron spectral-statistics adequacy,True,Per-geometry positive-bin coverage and MC relative-uncertainty gate; four v12.5 weak thick-shield transmission runs receive targeted higher history floors,True,Every required JAERI transmission geometry must satisfy the v12.12-retained statistical-adequacy policy before neutron agreement is evaluated
Benchmark-agreement gate,True,Predeclared coefficient/spectral/dose acceptance criteria evaluated only from real comparison results,True,Real comparisons must satisfy the frozen thresholds
MC residual fields,True,Geant4-minus-experiment ordered residual tensors and uncertainty-normalized diagnostics,True,N001/N002 real MC spectra must exist
Controlled fixed-geometry field,True,"Nine-thickness fixed-geometry JAERI-43 sweep with R(E,t), sigma_R, attenuation and post-transport effective-TVL diagnostics",True,The controlled stochastic sweep must complete
